Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
1/21/2025,2384.300049,1106.199951,6909.377441,2260.350098,970.2000122,8468.549805,1717,7291.649902,277.4632568,274.7708435,1626.150024,4903.850098,1428,376.000885,1288.150024,4969.950195,2367.5,1802.400024,1642.400024,624,3926.286865,614.9500122,2340.5,1196.150024,960.4500122,1800.699951,430.7508545,926.8499756,1893.300049,3541.100098,2821.300049,11883.7002,2182.473633,321.789917,260.6116333,298.85495,1273.699951,1463.76416,759.0499878,1752.140381,972.0999756,760.75,129.6999969,4035.850098,1640.5,3353.350098,5736.950195,10667.7998,292.5370483
1/22/2025,2376.550049,1102.25,6883.164551,2262.100098,959.2999878,8460.849609,1743.300049,7397.149902,268.8609314,272.2211914,1631.75,4956.700195,1439.400024,373.6850891,1296.25,5009.700195,2388.149902,1827.699951,1666.050049,618.2000122,3956.43042,613.4500122,2342.949951,1200.449951,970.9500122,1856.449951,430.2094116,919.4000244,1917.5,3518.199951,2826.449951,12020.34961,2193.751465,319.9046326,258.8957825,294.1104126,1277.099976,1457.276489,753.4500122,1788.173218,967.4000244,742.75,128.9199982,4156.600098,1683.949951,3356.449951,5626.350098,10693.75,303.0776062
1/23/2025,2385,1104,6911.075195,2276.350098,951.0499878,8399.950195,1746.150024,7443.25,272.4411011,265.9942322,1636,5012.600098,1451.150024,380.1890564,1289.400024,5116.200195,2461.149902,1807,1664.900024,621,3999.987793,608.25,2321.699951,1201.75,970.9500122,1865.449951,433.3597107,929.9000244,1894.849976,3503.25,2886.449951,12045.75,2184.957764,321.1449585,257.9153137,290.9474182,1263.650024,1447.095703,745.9000244,1822.615723,983.9000244,752.5,130.3699951,4145.450195,1713.400024,3398.550049,5733.600098,11420.90039,311.5100403
1/24/2025,2315.100098,1094.150024,6735.522949,2262.399902,948.5,8401.5,1728.699951,7438.600098,268.6620178,258.6885681,1644.800049,5101.549805,1411.400024,377.4790649,1224.400024,5206.299805,2490.75,1792.849976,1649.800049,621.0999756,3952.723389,606.9000244,2368.100098,1209.199951,950.7999878,1875.449951,434.7379456,932.4500122,1886.199951,3458.199951,2801.399902,11967.90039,2193.850586,321.1449585,251.5029907,292.4300842,1246.300049,1437.663696,744.1500244,1811.283936,992.3499756,734.0999756,129.7400055,4152.350098,1723.050049,3402.149902,5490.450195,11285.84961,313.8632813
1/27/2025,2259.699951,1082,6685.993652,2251.5,948.0999756,8384.599609,1711.599976,7295.450195,261.5016785,256.2369995,1602.599976,5176.25,1396.099976,370.2852478,1197.650024,5144.5,2458.050049,1711.949951,1629.800049,610.2000122,3917.65332,586.9000244,2392.850098,1227.949951,926.4500122,1822,433.2612305,919.3499756,1881.400024,3457.649902,2831.600098,11993.84961,2160.911621,319.7062073,245.8848267,283.682373,1229.349976,1421.694092,749.2000122,1776.145752,965.7999878,713.0499878,126.3700027,4065.149902,1653.900024,3319.350098,5412.600098,11239.5,301.9500122
1/28/2025,2286.050049,1080.699951,6699.474609,2241.800049,983.7999878,8398.400391,1768.949951,7606.600098,256.8275452,253.0499878,1618.349976,5060.75,1420.599976,365.2593994,1181.25,5105.399902,2411.300049,1693.25,1670.400024,611.5499878,3927.799072,573.8499756,2388.850098,1246.900024,934.1500244,1829.75,428.6835022,916.1500244,1887.75,3413.899902,2870.600098,12123.75,2142.579102,315.7867432,243.8258057,280.6676331,1234.400024,1416.803467,752.4000244,1695.283081,961.25,728.25,128.6199951,4040.300049,1648.349976,3325.899902,5455.100098,11296.34961,303.6000061
1/29/2025,2318.600098,1096.949951,6774.717773,2223.149902,983.4000244,8625.849609,1790.400024,7759.649902,265.7282715,257,1600.449951,5037.049805,1423.949951,373.9314575,1181.199951,5182.899902,2453.649902,1719,1677.300049,628.3499756,3972.770508,584.0999756,2383.949951,1251.650024,948.2999878,1881.25,426.6161194,937.5999756,1920.349976,3449.699951,2924.350098,11977.90039,2166.82373,318.7635498,246.4927216,284.5225525,1235.5,1458.124756,758.4500122,1724.954224,960.5,752.5,130.8000031,4099.799805,1681.150024,3370.75,5597.149902,11544.84961,312.4500122
1/30/2025,2252.600098,1077.050049,6815.010742,2249.850098,984.7000122,8747.799805,1745.199951,7901.649902,277.2146301,257.1499939,1640.75,5075.350098,1457.449951,379.4499817,1194.5,5164.350098,2491.699951,1713.099976,1691.5,634.1500244,4075.541748,587.8499756,2408.75,1255.599976,957.0499878,1859.949951,429.4218445,950.8499756,1901.5,3420.949951,2971.449951,12000,2203.240723,320.5,251.7088776,291.9358521,1253.050049,1470.102051,762.5999756,1728.681763,966.7000122,696.8499756,131.1199951,4100.049805,1670.099976,3368.399902,5511.200195,11479.40039,309
1/31/2025,2287.800049,1099.349976,6800.880859,2300.800049,986.0999756,8847.799805,1736.099976,7885.100098,291.0380859,261.1000061,1626.300049,5129.649902,1479.400024,395.8999939,1217.349976,5194.299805,2508.850098,1725.449951,1698.75,638.0499878,4232.942383,594.2999878,2468.800049,1252.800049,991.2000122,1879.800049,440.5462341,945,1901.300049,3567.399902,2989.850098,12310.65039,2298.480713,324,257.4838867,298.1630249,1265.099976,1480.781616,772.9000244,1733.502686,1024.650024,716.0999756,134.6199951,4112.399902,1674.449951,3490.25,5753.200195,11487.4502,311.8999939
2/1/2025,2270,1084.099976,6831.437988,2351.149902,998.1500244,9155.599609,1754,8000.100098,280.2478333,255.6499939,1623.25,5201.350098,1439.5,385.2999878,1204.949951,5390.149902,2440.75,1694,1690.949951,625.5,4294.400391,586.4500122,2506.050049,1255.550049,1009.400024,1851.349976,455.3623657,934.25,1903.099976,3447.5,3076.75,12916.5,2312.391602,317.7000122,252.5226593,286.4994507,1264.599976,1451.587158,766,1731.763184,1069.849976,706.5499878,132.9700012,4073.149902,1646.400024,3552,6189.5,11259.15039,304.7999878
2/3/2025,2261.850098,1084.849976,6789.047363,2292.25,989.4000244,8926.549805,1794.849976,8425.799805,272.6399841,249.5500031,1652.349976,5105.549805,1420.550049,374,1203.849976,5485.25,2473.649902,1692,1678,621.4000244,4181.727539,574.0499878,2441.949951,1253,1012.700012,1863.300049,447.2898254,933.9500122,1884.5,3289.199951,3173.300049,13139.9502,2302.355957,311.25,244.1395721,280.5193481,1245.900024,1457.176514,760.9500122,1730.172852,1036.300049,687.4500122,131.8200073,4068.649902,1654.699951,3580.300049,6135.100098,11174.65039,313.6000061
